config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,63,4,157.686736,0.0,0.0,157.686736,39.421684,0.0,39.421684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,64,4,139.688667,0.0,0.0,139.688667,34.92216675,0.0,34.92216675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,65,4,129.351032,0.0,0.0,129.351032,32.337758,0.0,32.337758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,66,4,165.943535,0.0,0.0,165.943535,41.48588375,0.0,41.48588375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,67,4,138.223608,0.0,0.0,138.223608,34.555902,0.0,34.555902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,68,4,135.292435,0.0,0.0,135.292435,33.82310875,0.0,33.82310875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,69,4,162.553418,0.0,0.0,162.553418,40.6383545,0.0,40.6383545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,70,4,146.041363,0.0,0.0,146.041363,36.51034075,0.0,36.51034075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,71,4,146.919448,0.0,0.0,146.919448,36.729862,0.0,36.729862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,72,4,153.599522,0.0,0.0,153.599522,38.3998805,0.0,38.3998805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,73,4,139.056423,0.0,0.0,139.056423,34.76410575,0.0,34.76410575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,74,4,144.343957,0.0,0.0,144.343957,36.08598925,0.0,36.08598925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,75,4,133.00925,0.0,0.0,133.00925,33.2523125,0.0,33.2523125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,76,4,175.573789,0.0,0.0,175.573789,43.89344725,0.0,43.89344725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,77,4,146.343166,0.0,0.0,146.343166,36.5857915,0.0,36.5857915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,78,4,148.906874,0.0,0.0,148.906874,37.2267185,0.0,37.2267185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,79,4,166.513068,0.0,0.0,166.513068,41.628267,0.0,41.628267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,80,4,138.055576,0.0,0.0,138.055576,34.513894,0.0,34.513894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,81,4,143.673486,0.0,0.0,143.673486,35.9183715,0.0,35.9183715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,82,4,182.06591,0.0,0.0,182.06591,45.5164775,0.0,45.5164775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
