config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_to_float_ms_per_batch,compute_to_float_ms_per_record,cpu_to_float_ms_per_batch,compute_crop_ms_per_batch,compute_crop_ms_per_record,cpu_crop_ms_per_batch,compute_flip_ms_per_batch,compute_flip_ms_per_record,cpu_flip_ms_per_batch
U,0,2,2,23,4,1994.621957,61.812896,61.985867000000006,1932.8090610000002,498.65548925,15.453224,483.20226525000004,47.201425,11.80035625,47.363125000000004,11.39542,2.848855,11.398574,3.216051,0.80401275,3.2241679999999997
U,0,2,2,24,4,311.886692,21.099581999999998,21.205738999999998,290.78711,77.971673,5.2748954999999995,72.6967775,2.460181,0.61504525,2.46698,15.012629,3.75315725,15.062679,3.626772,0.906693,3.67608
U,0,2,2,25,4,422.411918,22.257789000000002,22.331223,400.154129,105.6029795,5.564447250000001,100.03853225,3.0340789999999997,0.7585197499999999,3.0420949999999998,16.849382000000002,4.2123455000000005,16.908458,2.374328,0.593582,2.3806700000000003
U,0,2,2,26,4,356.069034,25.504874,25.528190999999996,330.56416,89.0172585,6.3762185,82.64104,3.3856249999999997,0.8464062499999999,3.394588,19.796426,4.9491065,19.805085,2.322823,0.58070575,2.328518
U,0,2,2,27,4,706.517182,26.238047,26.281934,680.279135,176.6292955,6.55951175,170.06978375,4.668003000000001,1.1670007500000001,4.6753469999999995,19.301073000000002,4.825268250000001,19.331783,2.268971,0.56724275,2.274804
U,0,2,2,28,4,400.44837,24.517786999999995,24.561991,375.930583,100.1120925,6.129446749999999,93.98264575,3.0524620000000002,0.7631155000000001,3.0598419999999997,19.593255999999997,4.898313999999999,19.602467,1.872069,0.46801725,1.899682
U,0,2,2,29,4,322.485938,24.600966,24.622388,297.88497199999995,80.6214845,6.1502415,74.47124299999999,2.400912,0.600228,2.407864,19.603886,4.9009715,19.611109,2.596168,0.649042,2.603415
U,0,2,2,30,4,454.089522,25.657116,25.349773,428.432406,113.5223805,6.414279,107.1081015,3.2639199999999997,0.8159799999999999,3.271199,20.335589,5.08389725,20.016299,2.057607,0.51440175,2.062275
U,0,2,2,31,4,585.498003,30.257211999999996,30.777435,555.2407910000001,146.37450075,7.564302999999999,138.81019775000001,3.956657,0.98916425,3.9645539999999997,24.168934999999998,6.042233749999999,24.67855,2.13162,0.532905,2.1343309999999995
U,0,2,2,32,4,545.850578,31.514074000000004,31.555403,514.336504,136.4626445,7.878518500000001,128.584126,4.573641,1.14341025,4.583944,24.608122,6.1520305,24.617565,2.3323110000000002,0.5830777500000001,2.353894
U,0,2,2,33,4,356.03824,26.011162000000002,26.033685,330.02707799999996,89.00956,6.502790500000001,82.50676949999999,3.5773029999999997,0.8943257499999999,3.5849589999999996,19.955652,4.988913,19.965072,2.478207,0.61955175,2.483654
U,0,2,2,34,4,377.039606,24.835345999999998,24.920998,352.20426,94.2599015,6.208836499999999,88.051065,2.805621,0.70140525,2.813341,19.636871,4.90921775,19.70912,2.392854,0.5982135,2.3985369999999997
U,0,2,2,35,4,584.217548,18.614496000000003,18.691067,565.6030519999999,146.054387,4.653624000000001,141.40076299999998,4.171386,1.0428465,4.179209,11.822123000000001,2.9555307500000003,11.884345999999999,2.620987,0.65524675,2.627512
U,0,2,2,36,4,298.22595,24.057291999999997,24.117249999999995,274.168658,74.5564875,6.014322999999999,68.5421645,2.376496,0.594124,2.382049,19.374541999999998,4.8436354999999995,19.423365999999998,2.306254,0.5765635,2.311835
U,0,2,2,37,4,369.232538,25.323499999999996,25.344216,343.909038,92.3081345,6.330874999999999,85.9772595,2.8660509999999997,0.7165127499999999,2.8739229999999996,19.583712,4.895928,19.587189000000002,2.873737,0.71843425,2.8831040000000003
U,0,2,2,38,4,296.502782,23.804094000000003,23.827308,272.698688,74.1256955,5.951023500000001,68.174672,2.424583,0.60614575,2.430916,18.744798,4.6861995,18.754305,2.6347130000000005,0.6586782500000001,2.642087
U,0,2,2,39,4,342.651711,24.092652,24.156834,318.559059,85.66292775,6.023163,79.63976475,2.685568,0.671392,2.692334,19.255236,4.813809,19.309117,2.151848,0.537962,2.155383
U,0,2,2,40,4,362.819049,24.344402000000002,24.366154,338.474647,90.70476225,6.086100500000001,84.61866175,2.78859,0.6971475,2.796603,19.121684000000002,4.7804210000000005,19.130751,2.434128,0.608532,2.4387999999999996
U,0,2,2,41,4,395.804601,25.268396000000003,25.317041000000003,370.536205,98.95115025,6.317099000000001,92.63405125,2.890121,0.72253025,2.898329,20.478991,5.11974775,20.517183000000003,1.8992840000000002,0.47482100000000005,1.9015290000000002
U,0,2,2,42,4,431.599147,26.604986,26.629776,404.994161,107.89978675,6.6512465,101.24854025,3.185038,0.7962595,3.192409,20.879549,5.21988725,20.889328,2.540399,0.63509975,2.548039
U,0,2,2,43,4,317.274593,23.968674,24.140776000000002,293.30591899999996,79.31864825,5.9921685,73.32647974999999,2.452019,0.61300475,2.458731,19.313076,4.828269,19.475177000000002,2.203579,0.55089475,2.206868
U,0,2,2,44,4,408.579366,25.012162,25.060552,383.567204,102.1448415,6.2530405,95.891801,3.0807399999999996,0.7701849999999999,3.08824,19.767577000000003,4.941894250000001,19.803321,2.163845,0.54096125,2.168991
U,0,2,2,45,4,371.659881,24.097738,24.518673,347.562143,92.91497025,6.0244345,86.89053575,2.831629,0.70790725,2.839468,19.074278,4.7685695,19.534193,2.1918309999999996,0.5479577499999999,2.145012
U,0,2,2,46,4,442.833953,25.810413,26.226398,417.02354,110.70848825,6.45260325,104.255885,3.3118209999999997,0.8279552499999999,3.31922,19.898223,4.97455575,20.275239,2.6003689999999997,0.6500922499999999,2.6319389999999996
U,0,2,2,47,4,463.810841,26.174757000000003,26.201184,437.636084,115.95271025,6.543689250000001,109.409021,3.301272,0.825318,3.3091959999999996,20.093974000000003,5.023493500000001,20.103221,2.7795109999999994,0.6948777499999998,2.788767
U,0,2,2,48,4,470.384309,26.433455,26.458681999999996,443.950854,117.59607725,6.60836375,110.9877135,3.46617,0.8665425,3.473801,19.803382,4.9508455,19.813439,3.1639030000000004,0.7909757500000001,3.171442
U,0,2,2,49,4,277.27541,23.781993,23.802419999999998,253.49341700000002,69.3188525,5.94549825,63.373354250000006,2.22564,0.55641,2.2314339999999997,18.953090000000003,4.738272500000001,18.960586999999997,2.603263,0.65081575,2.610399
U,0,2,2,50,4,326.585704,23.998311,24.137758,302.587393,81.646426,5.99957775,75.64684825,2.642515,0.66062875,2.649366,19.229993,4.80749825,19.321596,2.125803,0.53145075,2.166796
U,0,2,2,51,4,391.068285,24.335026,24.355896999999995,366.733259,97.76707125,6.0837565,91.68331475,2.877267,0.71931675,2.884144,19.147573,4.78689325,19.156211999999996,2.310186,0.5775465,2.315541
U,0,2,2,52,4,338.296177,24.232858999999998,24.268141999999997,314.063318,84.57404425,6.058214749999999,78.5158295,2.6471780000000003,0.6617945000000001,2.654117,19.250462,4.8126155,19.274618999999998,2.3352190000000004,0.5838047500000001,2.339406
